,Period,Country,Event_type,Outline,,States,Non-structured-data,More Information of Incident
124,19-02-2005,India,Cold Wave,More than 100 people have been killed and scores more are missing in Indian-administered Kashmir following the worst snowfalls in two decades.,,kashmir',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=AV-2005-000024-IND"">AV-2005-000024-IN', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/HMYT-69VLT8?OpenDocument&amp;rc=3&amp;emid=AV-2005-000028-IND""', 'http://news.bbc.co.uk/2/hi/south_asia/4289639.stm', 'http://news.bbc.co.uk/2/hi/south_asia/4286339.stm', 'http://edition.cnn.com/2005/WORLD/asiapcf/02/21/kashmir.landslide.ap/index.html', 'http://news.bbc.co.uk/2/hi/south_asia/4282241.stm']","['2005/02/19', 'India', 'Cold Wave', 'More than 100 people have been killed and scores more are missing in Indian-administered Kashmir following the worst snowfalls in two decades. ']"
125,26-12-2004,India,Tsunami,"At least 9,479 people dead, 3,000　people missing in Tamil Nadu, Andhra Pradesh and the Andaman and Nicobar Islands, in the aftermath of a tsunami triggered by the most powerful earthquake (9.0-magnitude) since 1964.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=TS-2004-000147-IND"">TS-2004-000147-IN', 'http://www.cnn.com/2004/WORLD/africa/12/27/somalia.quake.ap/""', '', 'http://edition.cnn.com/SPECIALS/2004/tsunami.disaster/', 'http://www.reliefweb.int/rw/dbc.nsf/doc104?OpenForm&amp;rc=3&amp;cc=ind""', 'http://www.adrc.asia/latestinfo/Asia_20041226/eng.html"">Inform', 'http://www.drs.dpri.kyoto-u.ac.jp/sumatra/index-e.html"">Informa', 'http://news.bbc.co.uk/1/hi/in_depth/world/2004/asia_quake_disaster/default.stm', 'http://www.reliefweb.int/rw/RWB.NSF/db900SID/SZIE-68MQDN?OpenDocument&amp;rc=3&amp;emid=TS-2004-000147-LKA""', 'http://www.reliefweb.int/w/rwb.nsf/vID/A7F5DFD44B021D5C85256F8500679A6A?OpenDocument""', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/fe1f27fe0904206785256f8400619969?OpenDocument""', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/df709dc4d00bfd1885256f7f00773030?OpenDocument""', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/d9d28ee1bae1eb7d85256f7e0078d0a2?OpenDocument"">Situ', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/f8b038dd0c274ceb85256f7a007bc0e8?OpenDocument""', 'http://www.reliefweb.int/w/RWB.NSF/480fa8736b88bbc3c12564f6004c8ad5/de9a9b7fa114a1e685256f7800767025?OpenDocument""', 'http://www.alertnet.org/thenews/newsdesk/SP169075.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL145315.htm"">Re', 'http://www.reliefweb.int/w/RWB.NSF/480fa8736b88bbc3c12564f6004c8ad5/b289ab64e432dcea85256f770073f2f7?OpenDocument""', 'http://edition.cnn.com/2004/WORLD/asiapcf/12/27/asia.warningsystem.ap/index.html', 'http://www.adrc.asia/latestinfo/Asia_20041226/WHO_situation_report_1.pdf', 'http://www.reuters.co.uk/newsArticle.jhtml?type=topNews&amp;storyID=644120"">Re', 'http://www.rediff.com/news/2004/dec/26lead.htm"">rediff.co', 'http://www.reliefweb.int/w/RWB.NSF/480fa8736b88bbc3c12564f6004c8ad5/596f71a256a5508dc1256f76003e8432?OpenDocument""', 'http://www.disasterscharter.org/disasters/CALLID_077_e.html', 'http://www.alertnet.org/thefacts/reliefresources/110408130184.htm"">Re', 'http://www.ndmindia.nic.in/"">I', 'http://www.ndmindia.nic.in/Tsunami2004/sitrept4.htm"">Nat', 'http://www.ndmindia.nic.in/Tsunami2004/sitrept2.htm"">Nat', 'http://www.ndmindia.nic.in/Tsunami2004/sitrep1.htm"">Nat', 'http://www.ndmindia.nic.in/Tsunami2004/sitrept3.htm"">Nat', 'http://www.alertnet.org/thenews/photoalbum/1104164323.htm"">Re', 'http://www.alertnet.org/thenews/photoalbum/1104163768.htm"">Re', 'http://www.alertnet.org/thenews/photoalbum/1104158146.htm"">Re', 'http://www.alertnet.org/thenews/photoalbum/ASQUgallery.htm"">Re']","['2004/12/26', 'India', 'Tsunami', 'At least 9,479 people dead, 3,000\u3000people missing in Tamil Nadu, Andhra Pradesh and the Andaman and Nicobar Islands, in the aftermath of a tsunami triggered by the most powerful earthquake (9.0-magnitude) since 1964.', 'Dead: 10,672\nMissing: 5,711', '', '', 'Dead 9,479\nMissing: 5,681', '', '']"
126,09-10-2004,India,Flash Flood,"Unseasonably heavy downpours have triggered landslides and submerged large areas in northeastern India, Bangladesh and Nepal the past three days, leaving at least 144 people dead, officials said Saturday. In India, the death toll rose to 100 after rescue workers on Saturday.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2004-000150-IND"">FF-2004-000150-IN', 'http://www.alertnet.org/thenews/newsdesk/DEL137106.htm"">Re', 'http://news.bbc.co.uk/2/hi/south_asia/3731590.stm', 'http://edition.cnn.com/2004/WORLD/asiapcf/10/09/southasia.floods.ap/index.html']","['2004/10/09', 'India', 'Flash Flood', 'Unseasonably heavy downpours have triggered landslides and submerged large areas in northeastern India, Bangladesh and Nepal the past three days, leaving at least 144 people dead, officials said Saturday. In India, the death toll rose to 100 after rescue workers on Saturday.']"
127,22-09-2004,India,Flash Flood,"At least 44 people have died after flash floods destroyed their homes in Sitapur district of Uttar Pradesh state, officials say.",,uttar',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2005-000008-IND"">FF-2005-000008-IN', 'http://news.bbc.co.uk/2/hi/south_asia/3679420.stm']","['2004/09/22', 'India', 'Flash Flood', 'At least 44 people have died after flash floods destroyed their homes in Sitapur district of Uttar Pradesh state, officials say.']"
128,19-09-2004,India,Flood,"Flooding in the densely populated Indian state of West Bengal has swamped hundreds of villages, killing three people and making more than 650,000 homeless, local officials said on Sunday.",,bengal',"['http://www.alertnet.org/thenews/newsdesk/SP126764.htm"">Re']","['2004/09/19', 'India', 'Flood', 'Flooding in the densely populated Indian state of West Bengal has swamped hundreds of villages, killing three people and making more than 650,000 homeless, local officials said on Sunday.']"
129,26-08-2004,India,Flash Flood,More than 20 people have been rescued after fears they had died when they were swept away by flash floods in northern India. Two bodies have been recovered and a search is on for five people who are still missing.,,,"['http://www.indianexpress.com/full_story.php?content_id=53919', 'http://news.bbc.co.uk/2/hi/south_asia/3600406.stm']","['2004/08/26', 'India', 'Flash Flood', 'More than 20 people have been rescued after fears they had died when they were swept away by flash floods in northern India. Two bodies have been recovered and a search is on for five people who are still missing. \n\n']"
130,07-08-2004,India,Landslide,"Mudslide, drowning kill at least 17 in India. The death toll from the monsoon season across South Asia rose to at least 1,931, officials said Friday.",,,"['http://abcnews.go.com/wire/World/ap20040807_1587.html', 'http://edition.cnn.com/2004/WORLD/asiapcf/08/06/southasia.floods.ap/index.html']","['2004/08/07', 'India', 'Landslide', 'Mudslide, drowning kill at least 17 in India. The death toll from the monsoon season across South Asia rose to at least 1,931, officials said Friday.']"
131,26-06-2004,India,Flood,"Floods have wreaked havoc in the state of Bihar, particularly in the northern plains, claiming over 30 lives and displacing over 125,000, according to Red Cross sources. The districts affected include Madhubani, Sitamarhi, Banka, Bhagalpur, Muzzaffarpur and Sheohar.",,bihar',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2004-000043-IND"">FL-2004-000043-IN', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/5f646054e67a9b62c1256eeb003a0dce?OpenDocument""', 'http://www.alertnet.org/thenews/newsdesk/DEL156658.htm"">Re', 'http://news.bbc.co.uk/2/hi/south_asia/3885513.stm', 'http://www.alertnet.org/thenews/newsdesk/108851691259.htm"">Re', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/424e4458356df0e885256ebe00651b22?OpenDocument""', 'http://www.alertnet.org/thefacts/satelliteimages/INfloods28Jul04.htm"">Re', 'http://www.alertnet.org/thefacts/satelliteimages/INfloods23Aug04.htm"">Re', 'http://www.alertnet.org/thenews/photoalbum/1090852502.htm"">Re', 'http://www.alertnet.org/thenews/photoalbum/1089646595.htm"">Re']","['2004/06/26', 'India', 'Flood', 'Floods have wreaked havoc in the state of Bihar, particularly in the northern plains, claiming over 30 lives and displacing over 125,000, according to Red Cross sources. The districts affected include Madhubani, Sitamarhi, Banka, Bhagalpur, Muzzaffarpur and Sheohar.']"
132,08-06-2004,India,Flash Flood,"At least 30 people have died in three separate incidents while trying to cross a swollen river in eastern India on June 8, 2004.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FF-2004-000037-IND"">FF-2004-000037-IN', 'http://news.bbc.co.uk/2/hi/south_asia/3785685.stm']","['2004/06/08', 'India', 'Flash Flood', 'At least 30 people have died in three separate incidents while trying to cross a swollen river in eastern India on June 8, 2004. ']"
133,2003/12/25－,India,Cold Wave,"A cold wave sweeping Bangladesh and northern India has killed 92 more people, and taking the toll due to the freezing temperatures in the region since Christmas to 574.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ET-2003-000636"">ET-2003-00063', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/a88fd77a437abe01c1256e1d003b457d?OpenDocument""', 'http://www.alertnet.org/thenews/newsdesk/DEL302541.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL164562.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL158770.htm"">Re', 'http://www.hindu.com/thehindu/holnus/00028193001.htm', 'http://www.alertnet.org/thenews/newsdesk/B225309.htm"">Re']","['2003/12/25－', 'India', 'Cold Wave', 'A cold wave sweeping Bangladesh and northern India has killed 92 more people, and taking the toll due to the freezing temperatures in the region since Christmas to 574. ']"
134,11-12-2003,India,Tropical Cyclone,"A cyclone tore into India's southeastern coast, killing at least 45 people. The storm triggered heavy rains and flooding, destroying houses in several villages across four coastal districts of Andhra Pradesh state.",,andhra',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenu', 'http://www.alertnet.org/thenews/newsdesk/107167740731.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/SP146601.htm"">Re', 'http://www.hindu.com/2003/12/16/stories/2003121612030100.htm', 'http://story.news.yahoo.com/news?tmpl=story&amp;cid=516&amp;ncid=731&amp;e=8&amp;u=/ap/20031216/ap_on_re_as/india_cyclone"">', 'http://www.alertnet.org/thenews/photoalbum/1071855734.htm"">Re']","['2003/12/11', 'India', 'Tropical Cyclone', ""A cyclone tore into India's southeastern coast, killing at least 45 people. The storm triggered heavy rains and flooding, destroying houses in several villages across four coastal districts of Andhra Pradesh state.""]"
135,31-08-2003,India,Flash Flood,Twenty people are feared to have drowned in a flash flood in northern India.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenu', 'http://www.alertnet.org/thenews/newsdesk/DEL88907.htm"">Re', 'http://news.bbc.co.uk/2/hi/south_asia/3076730.stm', 'http://www.alertnet.org/thenews/newsdesk/DEL88907.htm"">Re', 'http://www.alertnet.org/thenews/newsdesk/DEL46833.htm"">Re', 'http://news.bbc.co.uk/2/hi/south_asia/3076730.stm', 'http://edition.cnn.com/2003/WORLD/asiapcf/south/08/31/india.bus.flood/index.html']","['2003/08/31', 'India', 'Flash Flood', 'Twenty people are feared to have drowned in a flash flood in northern India. ', 'Dead: 206 people\r\n(in six weeks of flooding)\n', '', '', 'Death: 17 people\r\naffected :three million people', '', '']"
136,05-08-2003,India,Flood,"Six weeks of monsoon rains have triggered landslides and flooding that has killed more than 26 people and has left 400 families homeless in Darjeeling, a small town in the northeastern Himalayan region of India.",,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2003-000387-IND"">FL-2003-000387-IN', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/5e046660a72a0651c1256d790049bf68?OpenDocument"">', 'http://edition.cnn.com/2003/WORLD/asiapcf/south/08/08/india.train.tunnel/index.html', 'http://story.news.yahoo.com/news?tmpl=story&amp;cid=516&amp;ncid=731&amp;e=6&amp;u=/ap/20030808/ap_on_re_as/india_rain_deaths"">', 'http://www.reliefweb.int/w/rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/5e046660a72a0651c1256d790049bf68?OpenDocument""']","['2003/08/05', 'India', 'Flood', 'Six weeks of monsoon rains have triggered landslides and flooding that has killed more than 26 people and has left 400 families homeless in Darjeeling, a small town in the northeastern Himalayan region of India. ', 'Dead: more than 26 people\n', 'Destroyed: 400 houses\n', '']"
137,16-07-2003,India,Flash Flood,Heavy rains are hampering efforts to rescue survivors after flash floods killed at least 19 people at a construction site in India's northern state of Himachal Pradesh.,,himachal',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=FL-2003-000316-IND"">FL-2003-000316-IN', 'http://www.alertnet.org/thenews/newsdesk/DEL104804.htm"">Re', 'http://edition.cnn.com/2003/WEATHER/07/16/india.floods/index.html', 'http://news.bbc.co.uk/1/hi/world/south_asia/3074283.stm', 'http://news.bbc.co.uk/1/hi/in_depth/photo_gallery/3077361.stm']","['2003/07/16', 'India', 'Flash Flood', ""Heavy rains are hampering efforts to rescue survivors after flash floods killed at least 19 people at a construction site in India's northern state of Himachal Pradesh.""]"
138,18-06-2003,India,Flood,"Incessant rain in the upper reaches of the mighty Brahmaputra, a river that flows through the state of Assam in north-eastern India before passing through Bangladesh and into the sea, has caused flooding along its banks, leaving more than 400,000 people homeless and displaced. According to Government sources, western Nalbari, southern Karimganj, southern Hailakandi and eastern Dhemaji districts have been badly affected.",,assam',"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=\u3000"">', 'http://www.ndmindia.nic.in/flood2003/report1.htm"">', 'http://www.reliefweb.int/w/Rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/28882cbd6098ae6ac1256d580034effd?OpenDocument""', 'http://www.ndmindia.nic.in/flood2003/report1.htm"">', 'http://www.reliefweb.int/w/Rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/28882cbd6098ae6ac1256d580034effd?OpenDocument""', 'http://www.reliefweb.int/w/Rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/3ed071bfe241a897c1256d50004ee38a?OpenDocument"">Re', 'http://news.bbc.co.uk/2/hi/south_asia/2998304.stm', 'http://www.reliefweb.int/w/Rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/c563ba7d0d7d9c0385256d49005bd1fe?OpenDocument""', 'http://www.alertnet.org/thenews/fromthefield/105589752650.htm"">Re', 'http://www.adrc.asia/counterpart_report/India_200307/India_200307.htm"">Situ']","['2003/06/18', 'India', 'Flood', 'Incessant rain in the upper reaches of the mighty Brahmaputra, a river that flows through the state of Assam in north-eastern India before passing through Bangladesh and into the sea, has caused flooding along its banks, leaving more than 400,000 people homeless and displaced. According to Government sources, western Nalbari, southern Karimganj, southern Hailakandi and eastern Dhemaji districts have been badly affected. ', '', '', '', 'Homeless: 440,000 people\n', '', 'A total of 11 districts in the state have been hit by the floods.']"
139,23-05-2003,India,Heat Wave,A heat wave in southern Indian has killed at least 198 people in the past eight days.,,,"['http://www.glidenumber.net/glide/public/search/details.jsp?glidenumber=ET-2003-000250-IND"">ET-2003-000250-IN', 'http://story.news.yahoo.com/news?tmpl=story&amp;cid=516&amp;ncid=731&amp;e=3&amp;u=/ap/20030601/ap_on_re_as/india_deadly_heat"">', 'http://www.reliefweb.int/w/Rwb.nsf/480fa8736b88bbc3c12564f6004c8ad5/9413da244ec22df9c1256d3c006293c8?OpenDocument""', 'http://story.news.yahoo.com/news?tmpl=story&amp;cid=516&amp;ncid=731&amp;e=7&amp;u=/ap/20030604/ap_on_re_as/india_deadly_heat', 'http://edition.cnn.com/2003/WORLD/asiapcf/south/06/03/india.deadlyheat.ap/index.html', 'http://story.news.yahoo.com/news?tmpl=story&amp;cid=516&amp;ncid=731&amp;e=3&amp;u=/ap/20030601/ap_on_re_as/india_deadly_heat"">', 'http://news.bbc.co.uk/2/hi/south_asia/2946554.stm', 'http://www.cnn.com/2003/WORLD/asiapcf/south/05/27/india.heat/index.html', 'http://news.bbc.co.uk/2/hi/south_asia/2933252.stm', 'http://story.news.yahoo.com/news?tmpl=story&amp;cid=516&amp;ncid=731&amp;e=4&amp;u=/ap/20030524/ap_on_re_as/india_deadly_heat"">', 'http://www.reliefweb.int/w/map.nsf/wByCLatest/618643C1F0DFDE8385256D3C00786614?Opendocument"">Reli']","['2003/05/23', 'India', 'Heat Wave', 'A heat wave in southern Indian has killed at least 198 people in the past eight days.', 'Dead: nearly 800 people\r\nHundreds of people were being treated for dehydration and sunstroke.', '', '']"
